DATE;EUR;USD;GBP;CHF;CNY
Nov 30, 2015;0.1083;0.1146;0.0762;0.1181;0.7331
Nov 29, 2015;0.1081;0.1144;0.0761;0.1179;0.7310
Nov 28, 2015;0.1081;0.1145;0.0761;0.1179;0.7319
